Date,Shift,Factory,Machine No,Issues,Root Cause,Correction ,Corrective Action,,,
11/06/2023,DAY A,FILLING/AUTOCLAVE,,Excessive low weight ,Malfunctioning of the filling nozzle 1 and 19.,Affected cans were removed from the line.,adjustment was made on the filling machine,,,
12/06/2023,DAY A,PACKAGING,,Rust on can lids and body,Use of washed trolley layers, Affected cans were removed from the line,Consistent monitoring of the line,,,
12/06/2023,DAY A,FILLING/AUTOCLAVE,,Excessive low weight ,Malfunctioning of the filling nozzle 1 and 19.,Affected cans were removed from the line.,adjustment was made on the filling machine,,,
12/06/2023,DAY A,FILLING/AUTOCLAVE,,Dent on Cans,Not Identified,The trolleys containing affected cans were isolated and placed on hold ,Efforts to identify the root cause ongoing,,,
12/06/2023,DAY A,FILLING/AUTOCLAVE,,Rust on can lids and body,Use of washed trolley layers,The affected cans were sorted out before packaging,The issue was corrected eventually by continous usage of the layers,,,
12/06/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
12/06/2023,DAY A,CANNING,,Low overlap on head 4 and 6.,Excessive high seam length,The line was stopped.,The affected head was thoroughly cleaned.,,,
13/06/2023,DAY B,PACKAGING,,"Total of 322 cans with white patches/rust on the lid from trolley 5, 6, 7, 8, 9, 10, 11, 12, 17, 18, 19 and 20 emanating from autoclave 3, 4 and 6 with a ph of 6.81, 7.14 and 6.65.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
14/06/2023,DAY B,PACKAGING,,"Total of 199 cans with white patches/rust on the lid from trolley 1 to 8, 15, 16, 26, 30 and 32 emanating from autoclave 3 and 4 with a ph of 6.96, 6.88 and 6.92.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
14/06/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight observed on Nozzles 1, 18 and 19 of the CFT machine.","Malfunctioning of the filling nozzle 1, 18 and 19.",Affected cans were removed from the line.,Adjustment was made by a change to the affected Nozzles.,,,
15/06/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight observed on Nozzles 14, 23 and 30 of the CFT machine.","Change of malfunctioned nozzles 1, 18 and 19 to nozzles 14, 23 and 30.",Affected cans were removed from the line.,Adjustment was made on the filling machine,,,
15/06/2023,DAY B,PACKAGING,,"Total of 189 cans with white patches/rust on the lid from trolley 1, 4, 5, 9, 11,12, 18, 27, 28, 29, 32, 44 and 45 emanating from autoclave 2, 3, 4 and 6 with a ph of 6.78, 6.95, 6.64, 6.54 and 6.50.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
15/06/2023,DAY B,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
16/06/2023,DAY A,PACKAGING,,Bad labeling of cans on labeler 1,Unbalanced labeling machine setting,Affected cans were removed and relabeled manually,Adjustment of the labeling machine,,,
16/06/2023,DAY A,PACKAGING,,Total of 13 cans with white patches/rust on the lid from trolley 4 and 6 emanating from autoclave 2 and 3 with a ph of 7.07 and 7.11,Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
16/06/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
16/06/2023,DAY A,CANNING,,Failure of external lacquer,The noozle dispensing the external lacquer trip off,"The line was stopped, affected cans were traced and removed from the line ,and  lacquer was applied manually on the affected cans.",The nozzle was cleaned and monitored,,,
17/06/2023,DAY A,PACKAGING,,Bad labeling of cans on labeler 1 and 2,Delay upward ejection of label magazine,Affected cans were removed and relabeled manually,Both labeling machines were adjusted,,,
17/06/2023,DAY A,PACKAGING,,Total of 19 cans with white patches/rust on the lid from trolley 18 emanating from autoclave 2  with a ph of 7.29,Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
17/06/2023,DAY A,CANNING,,High seam thickness on head 5,Tightness of second operation roller,The operator was duly notify,The seamer head was adjusted,,,
18/06/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
19/06/2023,DAY B,CANNING,,Weak welding on cans,Welding roller due for dressing,Affected cans were removed from the line and trashed.,Upper welding roller was dressed,,,
20/06/2023,DAY B,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
20/06/2023,DAY B,PACKAGING,,"Total of 184 cans with white patches/rust on the lid from trolley 1 - 9, 15,16, 22, 24, 33, 34 and 40 emanating from autoclave 2, 3 and 6 with a ph of 8.36, 7.72 and 7.85.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
21/06/2023,DAY B,PACKAGING,,"Total of 111 cans with white patches/rust on the lid from trolley 7,10, 11, 28, 33, 41 and 43 emanating from autoclave 2, 3, 4 and 6 with a ph of 7.18, 7.37 7.33 and 7.05.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
21/06/2023,DAY B,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
21/06/2023,DAY B,FILLING/AUTOCLAVE,,Observed dents from autoclave 3 affecting cans in trolley 09-12,Slight drop in pressure when tere was power outage,Sterility check was done and pH was checked and was within specification,Adequate monitoring of the pressure Valve of the autoclave during use at each stage,,,
22/06/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
23/06/2023,DAY A,FILLING/AUTOCALVE,,"Thermal shock on some Cans from Autoclave 6, affecting trolleys 25-28",Slight  rise in pressure during sterilization,Affected trolleys were placed on hold and PC check was carried out on some cans to ascertain proper sterilization process and pH,Adequate monitoring of the pressure Valve of the autoclave during use at each stage,,,
23/06/2023,DAY A,CANNING,,High seam thickness on head 3,Tightness of second operation roller,The operator was duly notify,The seamer head was adjusted,,,
23/06/2023,DAY A,CANNING,,Low overlap on head 4,Excessive high seam length,The line was stopped.,The affected head was thoroughly cleaned.,,,
24/06/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
24/06/2023,DAY A,CANNING,,Low overlap on head 4,Excessive high seam length,The line was stopped.,The affected head was thoroughly cleaned.,,,
25/06/2023,DAY B,PACKAGING,,"Total of 90 cans with white patches/rust on the lid from trolley 4, 6 - 9, 21 -24 emanating from autoclave 3, 4 and 6 with a ph of 7.12, 7.30 7.15 and 7.01.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
26/06/2023,DAY B,PACKAGING,,"A total of 325 cans with white patches/rust on the lid picked from the topmost layer of trolley 2 - 4, 5, 7, 11, 22 -24 and 50 emanating from autoclave 6, 4 and 3 with a ph of 7.69, 7.42 7.41 and 7.33.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
27/06/2023,DAY B,PACKAGING,,"A total of 89 cans with white patches/rust on the lid picked from the topmost layer of trolley 1 - 4, 6, 8, 11, 14, 15 and 31 emanating from autoclave 6, 4 and 3 with a ph of 7.42, 6.91, 7.03 and 7.38.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
27/06/2023,DAY B,PACKAGING,,Label discolouration,Defect from supplier, Affected labels were removed,Not applicable,,,
27/06/2023,DAY B,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
28/06/2023,DAY A,PACKAGING,,Label discoloration,Defect from supplier, Affected labels were removed,Not applicable,,,
29/06/2023,DAY A,PACKAGING,,Label discoloration,Defect from supplier, Affected labels were removed,Not applicable,,,
30/06/2023,DAY A,FILLING/AUTOCLAVE,,Spur formation on top seam of cans,Low overlap on seamer head 6,The line was stopped for engineering intervention,Adjustment on seamer head 6,,,
30/06/2023,DAY A,CANNING,,Low overlap on head 6,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
30/06/2023,DAY A,CANNING,,Low overlap on head 7,Short body and end hook,The line was stopped.,The affected head was worked on.,,,
03/07/2023,DAY B,PACKAGING,,Bad labeling of cans ,Unbalanced labeling machine setting,Affected cans were removed and relabeled manually,Adjustment of the labeling machine,,,
03/07/2023,DAY B,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
03/07/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight observed on Nozzles 14, 23 and 30 of the CFT machine.","Change of malfunctioned nozzles 1, 18 and 19 to nozzles 14, 23 and 30.",Affected cans were removed from the line.,Adjustment was made on the filling machine,,,
04/07/2023,DAY A,FILLING/AUTOCLAVE,,Dents on cans,The supply air hose for cooling water valve detached from its source while in use,The trolleys were placed on hold. Some cans were taken for PC analysis. The cans were sorted out before packaging.,Autoclave 3 is undergoing repairs,,,
04/07/2023,DAY A,CANNING,,Low overlap on head 2,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
04/07/2023,DAY A,CANNING,,Low overlap on head 6,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
04/07/2023,DAY A,CANNING,,High seam thickness on head 4,Tightness of second operation roller,The operator was duly notify,The seamer head was adjusted,,,
05/07/2023,DAY A,FILLING/AUTOCLAVE,,Leakage observed on the top seamof filled cans,False seam display on seamer head 1,The line was stopped immediately and the engineers were informed. Defective cans were removed from the line.,Parts of the seamer head were changed and adjustments made,,,
06/07/2023,DAY A,FILLING/AUTOCLAVE,,Spur Formation on top seaming,bad seaming,The line was stopped and affected cans removed from the line,The engineers are working on it to resolve the issue,,,
06/07/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
08/07/2023,DAY B,PACKAGING,,Label discolouration,Defect from supplier, Affected labels were removed,Not applicable,,,
08/07/2023,DAY B,FILLING/AUTOCLAVE,,Dents on cans,A hike in pressure due to a faulty valve from the control panel.,The trolleys were placed on hold. Some cans were taken for PC analysis. The cans were sorted out before packaging.,Autoclave 3 is undergoing repairs,,,
08/07/2023,DAY B,FILLING/AUTOCLAVE,,Off colour in filled milk.,Storing of pasteurized milk before filling in buffertank 2 without a stirrer/Agitator.,The trolleys were tracked and placed on hold after which analysis was carried out. The affected trolley(trolley 36 from autoclave 2)failed and was released for bursting.,Buffer tank undergoing repair,,,
09/07/2023,DAY B,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
10/07/2023,DAY A,CANNING,,High seam thickness on head 3,Tightness of second operation roller,The operator was duly notify,The seamer head was adjusted,,,
10/07/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
11/07/2023,DAY A,FILLING/AUTOCLAVE,,Dents on cans,High temperature of cooling water,Affected cans were isolated and straightend out,Cleaning of the temperature vents at the chiller area,,,
11/07/2023,DAY A,FILLING/AUTOCLAVE,,Dents on cans,Faulty Vent,Samples were taken for PC analysis and affected trolleys were sorted out,To change the faulty vent,,,
11/07/2023,DAY A,PROCESS,,Leakage from the Homogenizer,Worn out seal from the piston,The issue was reported to the engineering team,To change the seal,,,
11/07/2023,DAY A,CANNING,,Sharp edge/abrasion on head 7,Tightness of second operation roller,The operator was duly notified,The affected head was adjusted,,,
11/07/2023,DAY A,PACKAGING,,Incomplete code on cans,Clogging of Markem Imaje machine coding head,The machine was stopped while affected cans were retrieved and recoded,The print head was cleaned to remove the clog,,,
12/07/2023,DAY A,FILLING/AUTOCLAVE,,Spur Formation on top seaming,bad seaming,The line was stopped and affected cans removed from the line,The engineers are working on it to resolve the issue,,,
12/07/2023,DAY A,CANNING,,High seam thickness on head 3,Tightness of operation roller,The operator was duly notify,The seamer head was adjusted,,,
13/07/2023,DAY B,PACKAGING,,Label discolouration,Defect from supplier, Affected labels were removed,Not applicable,,,
13/07/2023,DAY B,PACKAGING,,"Total of 273 cans with white patches on the lid from trolley 3 - 7, 9-15, 17 - 40, 45, 47 and 48 emanating from autoclave 4, 5 and 6 with a ph of 7.19, 7.14, 6.72, 6.94, 6.67, 6.51, 6.78, 6.63 and 6.51",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
14/07/2023,DAY B,PACKAGING,,"Total of 220 cans with white patches on the lid from trolley 5 -16, 18, 19 and 23 emanating from autoclave 4, 5 and 6 with a ph of 7.43, 7.61, 7.15 and 7.29",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
15/07/2023,DAY B,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
15/07/2023,DAY B,PACKAGING,,"Total of 30 cans with white patches on the lid from trolley 2, 4, 6 and 14 emanating from autoclave 5 and 6 with a ph of 7.22, 7.44 and 7.07",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
17/07/2023,DAY A,PROCESS,,Leakage from the Homogenizer,Worn out seal from the piston,The issue was reported to the engineering team,To change the seal,,,
17/07/2023,DAY A,PACKAGING,,Bad labeling of cans on line 1,Adjuster of labeling machine not aligning,The line was stopped and affected cans removed from the line,The engineer was informed to work on the machine,,,
17/07/2023,DAY A,PACKAGING,,Brownish stains on can seaming edges,Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
17/07/2023,DAY A,FILLING/AUTOCLAVE,,Spur Formation and Leakage on top seaming,Issues on Seamer head 5 and 6,the line was stopped and affected cans removed,The engineer was informed to work on the machine,,,
17/07/2023,DAY A,CANNING,,Sharp seam/abrasion on head 7,Tightness of second operation roller,The operator was duly notify,The affected head was adjusted,,,
18/07/2023,DAY A,PACKAGING,,Brownish stains on can seaming edges,Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
18/07/2023,DAY A,CANNING,,Low overlap on head 5,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
18/07/2023,DAY A,CANNING,,Low overlap on head 7,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
18/07/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
19/07/2023,DAY B,PACKAGING,,"Total of 36 cans with white patches on the lid from trolley 6, 7 and 16 emanating from autoclave 5 and 6 with a ph of 7.18, 7.02.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
20/07/2023,DAY B,PACKAGING,,"Total of 36 cans with white patches on the lid from trolley 10, 12, 14, 16, 26, 27, 33 and 34 emanating from autoclave 4, 5 and 6 with a ph of 7.70, 6.86, 6.67, 6.62.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
21/07/2023,DAY B,PACKAGING,,"Total of 32 cans with white patches on the lid from trolley 6, 8 and 10 emanating from autoclave 5 and 6 with a ph of 7.12, 7.02.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
21/07/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight observed on Nozzles 14, 23 and 30 of the CFT machine.","Change of malfunctioned nozzles 1, 18 and 19 to nozzles 14, 23 and 30.",Affected cans were removed from the line.,Adjustment was made on the filling machine,,,
21/07/2023,DAY B,FILLING/AUTOCLAVE,,Off colour in filled milk.,Storing of pasteurized milk before filling in buffer tank 2 without a stirrer/Agitator.,The trolleys were tracked and placed on hold after which analysis was carried out. The affected trolley(trolley 17 autoclave 5)failed and was released for bursting.,Buffer tank undergoing repair,,,
22/07/2023,DAY A,FILLING/AUTOCLAVE,,"Low weight within the range of 134g - 144g volume observed of on nozzles 14, 20 and 23 of the CFT machine.","malfunctioning of nozzles 14,20 and 23",low weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
22/07/2023,DAY A,CANNING,,Low overlap on head 6,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
23/07/2023,DAY A,CANNING,,Sharp seam/abrasion on head 7,Tightness of second operation roller,The operator was duly notify,The affected head was adjusted,,,
24/07/2023,DAY A,CANNING,,Spur Formation and Leakage on top seaming,Issue was identified on Seamer head 6.Eventually the lids were changed and the machine ran well.,The line was stopped and affected cans removed,The engineer adjusted the seamer head and changed the lids in use to another batch.,,,
25/07/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 134g - 144g volume observed on nozzles 16, 19 and 29 of the CFT machine. And high weight of 157g - 164g observed on Nozzles 14 and 18.","malfunctioning of nozzles 16,19 and 29",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
25/07/2023,DAY B,PACKAGING,,"Total of 28 cans with white patches on the lid from trolley 4, 6, 8, 12, 22, 24, 33 and 34 emanating from autoclave 4, 5 and 6 with a ph of 7.05, 6.36, 7.18, 6.85.",Quality of lids, Affected cans were removed from the trolley,Consistent monitoring of the trolley,,,
26/07/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 134g - 144g volume observed on nozzles 16, 19 and 29 of the CFT machine. And high weight of 157g - 164g observed on Nozzles 14 and 18.","malfunctioning of nozzles 16,19 and 29",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
28/07/2023,DAY A,FILLING/AUTOCLAVE,,"Low weight within the range of 134g - 144g volume observed on nozzles 16, 19 and 29 of the CFT machine. And high weight of 157g - 164g observed on Nozzles 3 and 14.","malfunctioning of nozzles 16,19 and 29 (low weight) and 3 and 14 (high weight) ",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
10/08/2023,DAY A,FILLING/AUTOCLAVE,,"Low weight within the range of 134g - 147g volume observed on nozzles 14, 19 and 29 of the CFT machine. And high weight of 152g - 156g observed on Nozzles 14 and 18.","malfunctioning of nozzles 14, 16,19 and 29",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
10/08/2023,DAY A,PACKAGING,,Labelling Machine 1 stopped abruptly ,Faulty electrical switch,Unlabelled cans were retrieved and re-labelled,The faulty switch was changed,,,
11/08/2023,DAY A,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 14, 19 and 29 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 14, 16,19 and 29",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
11/08/2023,DAY A,CANNING,,Low overlap on head 6,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
11/08/2023,DAY A,CANNING,,High seam thickness on head 2,Tightness of operation roller,The operator was duly notify,The seamer head was adjusted,,,
11/08/2023,DAY A,CANNING,,Low lacquer powder application,Blockage  of powder spray  channel,Affected cans were removed from the line and trashed.,Blowing of the powder  channel with air-gun and consistent monitoring.,,,
12/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 16, 19 and 21 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 17, 16,19 and 20",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
12/08/2023,DAY B,CANNING,,Low overlap on head 6,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
13/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 16, 19 and 21 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 17, 16,19 and 20",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
13/08/2023,DAY B,CANNING,,Low overlap on head 2 and 6,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
14/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 16, 19 and 21 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 17, 16,19 and 20",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
15/08/2023,DAY A,FILLING/AUTOCLAVE,,"Low weight within the range of 135g - 147g volume observed on nozzles 14, 19 and 21 of the CFT machine. And high weight of 155g - 157g observed on Nozzles 17 and 20.","malfunctioning of nozzles 14,19 and 29",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
15/08/2023,DAY A,CANNING,,High seam thickness on head 5,Tightness of operation roller,The operator was duly notify,The seamer head was adjusted,,,
16/08/2023,DAY A,CANNING,,Low overlap on head 3,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
16/08/2023,DAY A,FILLING/AUTOCLAVE,,"Dented cans in trolleys 33, 34,36 and 36",Cooling water was not entering the autoclave during step 6 (Cooling) of the sterilization process due to faulty chiller at that particular time.,The cans were taken for bursting,The issue on the chiller was resolved by the engineers. ,,,
18/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 16, 19 and 21 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 17, 16,19 and 20",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
19/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 16, 19 and 21 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 17, 16,19 and 20",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
